COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
ⲁⲧ- ,['12'],[' (+ noun)'],"['ⲁⲑ', 'ⲁⲧ']",[]
ⲡⲓ- ,['11'],[' (phoric art.)'],"['ⲡⲏ', 'ⲛⲛⲓ', 'ⲃⲓ', '~ⲓ', 'ⲧⲓ', 'ⲧⲉⲓ', 'ⲡⲉⲓ', 'ⲛⲉⲓ', 'ⲛⲓ', 'ⲡⲓ', 'ϯ', 'ⲛⲉ']",[]
ⲕⲟⲥⲙⲟⲥ,['31'],[],['ⲕⲟⲥⲙⲱⲥ'],[]
ⲁⲣⲭⲏ ,['31'],[],['ⲁⲣⲭⲏ'],"[' ""beginning, origin""']"
ϩⲏ ,['1'],[],"['ϩⲏⲛ', 'ⲉⲑⲏ', 'ⲥⲁⲧϩⲏ', 'ⲉⲧϩⲏ', 'ϩⲓⲑⲏ', 'ϩⲓⲧϩⲏ', 'ϩⲁⲧϩⲏ', 'ϧⲁⲧϩⲏ', 'ϩⲏⲧⲥ', 'ϩⲏⲧϥ', 'ϩⲏ']","[' ""fore part, beginning""']"
"ϩⲓ-, ϩⲓⲱⲧ⸗",['8'],[],"['ⲏⲓⲱⲑⲫ', 'ⲏⲓⲱⲑⲥ', 'ϩⲓⲱϯ', 'ϩⲓⲱⲧⲉⲛ', '~ⲓ', 'ϩⲓⲱⲧⲕ', 'ϩⲓⲱⲧϥ', 'ϩⲓⲱⲧⲥ', 'ϩⲓⲱⲧ', 'ϩⲓⲱⲧⲟⲩ', 'ⲏⲓ', 'ⲉⲓ', 'ϩⲓ']",[]
ⲅⲁⲣ,['36'],[],[],[]
"ⲛⲁϣⲉ-, ⲛⲁϣⲱ⸗ ",['5'],[],"['ⲛⲁϣⲉⲛ', 'ⲛⲁϣⲱϥ', 'ⲛⲁϣⲱⲥ', 'ⲛⲁϣⲱⲟⲩ', 'ⲛⲁϣⲉ']","[' ""be many, much""']"
ϫⲉ ,['7'],"[' (quote, name, content)']","['ⲅⲉ', 'ⲧⲍⲉ', 'ϫ', 'ⲛϫⲉ', 'ϫⲉ']",[]
ϫⲉ ,['8'],"[' (cause, reason)']","['ⲅⲉ', 'ⲧⲍⲉ', 'ϫ', 'ⲛϫⲉ', 'ϫⲉ']",[]
