ID,DICT,MOT,"MOT_TRI,C,60",CD_MOT,TYPE,"REF_LEMME,C,90",id_1,pos_1,id_2,pos_2,id_3,pos_3,id_4,pos_4,id_5,pos_5,id_6,pos_6,id_7,pos_7,id_8,pos_8,id_9,pos_9,id_10,pos_10
6467,DACT,ⲓⲉⲍⲉⲕⲓⲏⲗ,ⲓⲉⲍⲉⲕⲓⲏⲗ,6467,1,646732,6467,32,,,,,,,,,,,,,,,,,,
6468,DACT,ⲓⲱⲃ,ⲓⲱⲃ,6468,1,646832,6468,32,,,,,,,,,,,,,,,,,,
6469,DACT,ⲕⲉⲇⲣⲟⲥ,ⲕⲉⲇⲣⲟⲥ,6469,1,646931,6469,31,,,,,,,,,,,,,,,,,,
6470,DACT,ⲕⲁⲇⲟⲥ,ⲕⲁⲇⲟⲥ,6470,2,647131,6471,31,,,,,,,,,,,,,,,,,,
6471,DACT,ⲕⲁⲇⲟⲥ (ϭⲁⲧⲟⲩⲥ),ⲕⲁⲇⲟⲥ (ϭⲁⲧⲟⲩⲥ),6471,1,647131,6471,31,,,,,,,,,,,,,,,,,,
6472,DACT,ϭⲁⲧⲟⲩⲥ,ϭⲁⲧⲟⲩⲥ,6472,2,647131,6471,31,,,,,,,,,,,,,,,,,,
6473,DACT,ⲙⲓⲥⲑⲟⲫⲟⲣⲉⲓ,ⲙⲓⲥⲑⲟⲫⲟⲣⲉⲓ,6473,1,647335,6473,35,,,,,,,,,,,,,,,,,,
6474,DACT,ⲙⲉⲧⲁⲛⲟⲓⲉ,ⲙⲉⲧⲁⲛⲟⲓⲉ,6474,2,53935,539,35,,,,,,,,,,,,,,,,,,
6475,DACT,ⲣⲁⲉⲓ,ⲣⲓ ⲁ1,6475,2,1188 1     23 8,1188,1,23,8,,,,,,,,,,,,,,,,
6476,DACT,ⲣⲁⲕ,ⲣⲕ ⲁ,6476,2,23 8,23,8,,,,,,,,,,,,,,,,,,
6477,DACT,ⲣⲁⲛ,ⲣⲛ ⲁ,6477,2,23 8,23,8,,,,,,,,,,,,,,,,,,
6478,DACT,ⲣⲁⲥ,ⲣⲥ ⲁ,6478,2,23 8,23,8,,,,,,,,,,,,,,,,,,
6479,DACT,ⲣⲁⲩ,ⲣⲩ ⲁ2,6479,2,23 8,23,8,,,,,,,,,,,,,,,,,,
6480,DACT,ⲣⲁϥ,ⲣϥ ⲁ,6480,2,23 8,23,8,,,,,,,,,,,,,,,,,,
6481,DACT,ⲉⲓ (auxiliary usage),ⲓ 1 3 (auxiliary usage),6481,1,6481 5,6481,5,,,,,,,,,,,,,,,,,,
6482,DACT,ⲁⲡⲓⲙⲁ,ⲁⲡⲙ  ⲓⲁ2,6482,2,6233 9,6233,9,,,,,,,,,,,,,,,,,,
6483,DACT,~ⲓⲙ,~ⲙ ⲓ2,6483,2,345510     9810   3260 1   1122 5,3455,10,98,10,3260,1,1122,5,,,,,,,,,,,,
6484,DACT,~ⲱϩ,~ϩ ⲱ,6484,2,609 5   7235 5   7236 5   1709 5   3690 1,609,5,7235,5,7236,5,1709,5,3690,1,,,,,,,,,,
6485,DACT,"ⲕⲛⲟ ""sheaf""","ⲕⲛ  ⲟ ""sheaf""",6485,1,6485 1,6485,1,,,,,,,,,,,,,,,,,,
6486,DACT,ⲕⲛⲟ,ⲕⲛ  ⲟ,6486,2,6485 1,6485,1,,,,,,,,,,,,,,,,,,
6487,DACT,"ⲛⲁⲉⲓⲧ ""meal, flour""","ⲛⲓⲧ ⲁ 1 ""meal, flour""",6487,1,6487 1,6487,1,,,,,,,,,,,,,,,,,,
6488,DACT,ⲛⲁⲉⲓⲧ,ⲛⲓⲧ ⲁ 1,6488,2,6487 1,6487,1,,,,,,,,,,,,,,,,,,
6489,DACT,ⲛⲧⲟⲧⲟⲩ,ⲛⲧⲧ  ⲟⲩ1,6489,2,652 8   7209 8,652,8,7209,8,,,,,,,,,,,,,,,,
6490,DACT,ⲥⲁⲛⲉⳉ,ⲥⲛⳉ ⲁⲉ,6490,2,2102 5,2102,5,,,,,,,,,,,,,,,,,,
6491,DACT,ⲟⲩⲁⲉⲧⲟⲩ,ⲩⲧ ⲁⲉⲩ11,6491,2,63715,637,15,,,,,,,,,,,,,,,,,,
6492,DACT,ⲟⲩⲁⲉⲧⲥ,ⲩⲧⲥ ⲁⲉ1,6492,2,63715,637,15,,,,,,,,,,,,,,,,,,
6493,DACT,ⲟⲩⲁⲉⲧϥ,ⲩⲧϥ ⲁⲉ1,6493,2,63715,637,15,,,,,,,,,,,,,,,,,,
