COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
"ⲛ-, ⲙⲙⲁ⸗ ",['8'],[' (object)'],"['ⲛⲙⲙⲁⲓ', 'ⲛⲙ', 'ⲛⲙⲙⲁⲩ', 'ⲛⲙⲁϥ', 'ⲛⲙⲁⲩ', 'ⲛⲙⲱⲧⲛⲉ', 'ⲛⲙⲁⲥ', 'ⲛⲙⲁⲛ', 'ⲛⲙⲁⲕ', 'ⲛⲙⲁⲓ', 'ⲛⲙⲁⲉⲓ', 'ⲛⲙⲟ', 'ⲙⲙⲟⲟ', 'ⲙⲁⲛ', 'ⲙⲁⲥ', 'ⲙⲁϥ', 'ⲙⲁⲕ', 'ⲙⲁⲓ', 'ⲙⲙⲱ', 'ⲙⲁⲩ', 'ⲙⲙⲁⲉⲓ', 'ⲙⲙⲁⲛ', 'ⲙⲙⲁⲓ', 'ⲙⲙⲟ', 'ⲙⲙⲁⲩ', 'ⲙⲙⲁϥ', 'ⲙⲙⲱⲧⲛⲉ', 'ⲛⲛ', 'ⲙⲙⲁⲥ', 'ⲙⲙⲁⲕ', 'ⲙⲟ', 'ⲙⲁⲉⲓ', 'ⲙⲛ', 'ⲛ', 'ⲙ']",[]
ⲁⲓⲛⲓⲅⲙⲁ,['31'],[],[],[]
ⲁⲟⲩ ,['7'],[],"['ⲁⲩⲟⲩ', 'ⲁⲟⲩ']","[' ""and, indeed""']"
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ,['31'],[],[],[]
ϫⲉ ,['7'],[' (purpose)'],"['ⲭ', 'ⲛϫⲉ', 'ϫ', 'ϫⲉ']",[]
ⲁ,['13'],[' (Second Present)'],"['ⲁⲩⲟⲩ', 'ⲁⲅ', '~ⲣⲉ', 'ⲉⲣⲉ', 'ⲁⲣⲁ', 'ⲉⲧⲉⲧⲛ', 'ⲉⲕ', 'ⲁⲛ', 'ⲁⲥ', 'ⲁϥ', 'ⲁⲕ', 'ⲁⲓ', 'ⲁⲣⲉ', 'ⲉⲓ', 'ⲁⲧⲉⲧⲛ', 'ⲉⲥ', 'ⲉⲛ', 'ⲁⲩ', 'ⲉ', 'ⲉⲩ', 'ⲉϥ', 'ⲉⲉⲓ', 'ⲁⲉⲓ', 'ⲁⲟⲩ', 'ⲁ']",[]
ⲛⲁ- ,['5'],[' (inst after nom subject)'],"['~ⲁ', 'ⲛⲁ']",[]
"ⲛ-, ⲛⲉ⸗",['8'],[],"['ⲛⲙ', 'ⲛⲉⲟⲩ', 'ⲛⲏⲧⲛ', 'ⲛⲉⲕ', 'ⲛⲉⲥ', 'ⲛⲓ', 'ⲛⲉⲉⲓ', 'ⲛⲁⲕ', 'ⲛⲁⲛ', 'ⲛⲏⲧⲛⲉ', 'ⲛⲉ', 'ⲛⲉⲩ', 'ⲛⲛ', 'ⲛⲉⲛ', 'ⲛⲟⲩ', 'ⲛⲉϥ', 'ⲛⲉⲓ', 'ⲛ', 'ⲙ']",[]
ⲁⲓⲥⲑⲏⲥⲓⲥ,['31'],[],[],[]
ⳉⲏⲙ ,['1'],[],['ⳉⲏⲙ'],"[' ""small""']"
ⲥⲟⲫⲟⲥ,['31'],[],[],[]
ⲅⲁⲣ,['36'],[],[],[]
ⲡⲉⲧ- ,['12'],[' (invariable)'],"['ⲡⲉⲧⲉ', 'ⲡⲉⲑ', 'ⲡⲉⲧ']",[]
ⲡⲉⲓ̈ ,['11'],"[' (dem. pronoun, general)']","['~ⲉⲓ', 'ⲧⲉⲉⲓ', 'ⲡⲉⲉⲓ', 'ⲧⲉⲓ', 'ⲛⲉⲉⲓ', 'ⲡⲉⲓ', 'ⲛⲉⲓ']",[]
First Present,['13'],[],"['^', 'ϥϥ', 'ⲧⲉⲧⲙ', 'ⲥⲟⲩ', 'ⲧⲉⲧⲛ', 'ⲥ', 'ⲥⲉ', 'ⲧⲙ', 'ⲧⲛ', 'ⲕ', 'ⲧⲉ', 'ϥ', 'ϯ']",[]
ⲡⲁⲣⲁⲃⲟⲗⲏ,['31'],[],[],[]
ⲡ,['11'],[' (poss. art.)'],"['ⲧⲉⲧⲙ', '~ⲉⲛ', '~ⲉⲩ', '~ⲉⲧⲛ', 'ⲛⲙ', 'ⲡⲉⲕ', '~ⲛ', 'ⲛⲉⲧⲙ', 'ⲛⲉⲧⲛⲛ', 'ⲛϥ', 'ⲛⲥ', '~ⲉϥ', '~ⲉⲥ', '~ⲟⲩ', 'ⲡⲛ', 'ⲛⲉⲧⲛ', 'ⲧⲉⲥ', 'ⲧⲉⲕ', 'ⲧⲉⲛ', 'ⲛⲉⲕ', 'ⲧⲥ', 'ⲛⲉⲥ', 'ⲡⲥ', '~ⲉ', 'ⲡⲉⲥ', 'ⲧϥ', 'ⲡⲉϥ', 'ⲧⲉϥ', '~ⲁ', 'ⲧⲉⲧⲛ', 'ⲡⲉⲧⲛ', 'ⲧⲁ', 'ⲡⲟⲩ', 'ⲧⲟⲩ', 'ⲛⲉ', 'ⲛⲉⲩ', 'ⲛⲛ', 'ⲧⲙ', 'ⲛⲉⲛ', 'ⲡϥ', 'ⲧⲛ', 'ⲧⲕ', 'ⲡⲕ', 'ⲡⲁ', 'ⲡⲉ', 'ⲧⲉ', 'ⲛⲟⲩ', 'ⲛⲉϥ', 'ⲛⲁ']",[]
ⲁⲣⲭⲏ,['31'],[],[],[]
ⲡⲉ ,['11'],[' (copular pronoun)'],"['ⲛⲉ', 'ⲡⲉ', 'ⲧⲉ', 'ⲇⲉ']",[]
"ⲛⲁⲛⲟⲩ-, ⲛⲁⲛⲟⲩ⸗",['5'],[],"['ⲛⲁⲛⲟⲩⲉ', 'ⲛⲁⲛⲉ', 'ⲛⲁⲛⲟⲩⲟⲩ', 'ⲛⲁⲛⲟⲩⲕ', 'ⲛⲁⲛⲟⲩⲉⲓ', 'ⲛⲁⲛⲟⲩⲓ', 'ⲛⲁⲛⲟⲩϥ', 'ⲛⲁⲛⲟⲩⲥ', 'ⲛⲁⲛⲟⲩ']",[]
ⲛⲓⲙ ,['10'],[],"['~ⲓⲙ', 'ⲛⲓⲙ']","[' ""each, every""']"
ⲁⲥⲉⲃⲏⲥ,['31'],[],[],[]
ⲙⲛ- ,['13'],[' (Neg. Imper.)'],['ⲙⲛ'],[]
"(ⲛ)ⲥⲉ-, ⲛⲥⲱ⸗",['8'],[],"['ⲛⲥⲟⲩⲕ', 'ⲛⲥⲟⲟⲩ', 'ⲛⲥⲱⲧⲛⲉ', 'ⲛⲥⲱⲛ', 'ⲛⲥⲱⲓ', 'ⲛⲥⲟⲩ', 'ⲛⲥⲱϥ', 'ⲛⲥⲱⲥ', 'ⲛⲥⲉ', 'ⲛⲥⲱⲟⲩ', 'ⲛⲥⲱⲉⲓ', 'ⲥⲉ', 'ⲛⲥⲱⲕ']",[]
"ⲁϫⲛ-, ⲁϫⲱ⸗",['8'],[],"['ⲁϫⲟⲟⲩ', 'ⲁϫⲱϥ', 'ⲁϫⲱⲩ', 'ⲁϫⲱⲛ', 'ⲁϫⲱⲕ', 'ⲁϫⲟⲩ', 'ⲁϫⲱⲓ', 'ⲁϫⲱⲉⲓ', 'ⲁϫⲱⲥ', 'ⲁϫⲱⲟⲩ', 'ⲁϫⲙ', 'ⲁϫⲱⲧⲛⲉ', 'ⲁϫⲛ']",[]
ⲙⲛⲧⲉ- ,['13'],[' (Neg. Caus. Imp.)'],"['ⲙⲛⲧⲕ', 'ⲙⲛⲧⲟⲩ', 'ⲙⲛⲧⲥ', 'ⲙⲛⲧⲛ', 'ⲙⲛⲧⲁ', 'ⲙⲛⲧϥ', 'ⲙⲛⲧⲉ']",[]
ⲣⲉϥ-,['12'],[],"['ⲣϥ', 'ⲣⲙⲉϥ', 'ⲣⲉϥ']",[]
ⲁϣⲁ- ,['13'],[' (Conditional)'],"['ⲁⲧⲉⲧⲛϣⲁ', 'ⲉϣⲁⲧⲉⲧⲛ', 'ⲉϥϣⲁ', 'ⲉⲩϣⲁ', 'ⲉⲥϣⲁ', 'ⲉⲛϣⲁ', 'ⲉⲕϣⲁ', 'ⲉⲓϣⲁ', 'ⲉⲉⲓϣⲁ', 'ⲉϣⲁ', 'ⲁⲓϣⲁ', 'ⲁⲉⲓϣⲁ', 'ⲁϣⲁⲧⲉⲧⲛ', 'ⲁⲥϣⲁ', 'ⲁⲣϣⲁ', 'ⲁⲛϣⲁ', 'ⲁⲕϣⲁ', 'ⲁϥϣⲁ', 'ⲁϣⲁ', 'ⲁⲩϣⲁ']",[]
